x,x,z,p,p
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcGloballyUniqueId_122243,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcGloballyUniqueId_122243,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#IfcGloballyUniqueId,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#IfcGloballyUniqueId
,,,,
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcGloballyUniqueId_122244,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcGloballyUniqueId_122244,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#IfcGloballyUniqueId,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#IfcGloballyUniqueId
,,,,
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcGloballyUniqueId_122254,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcGloballyUniqueId_122254,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#IfcGloballyUniqueId,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#IfcGloballyUniqueId
,,,,
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcGloballyUniqueId_122255,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcGloballyUniqueId_122255,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#IfcGloballyUniqueId,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#IfcGloballyUniqueId
,,,,
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcGloballyUniqueId_122256,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcGloballyUniqueId_122256,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#IfcGloballyUniqueId,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#IfcGloballyUniqueId
,,,,
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcGloballyUniqueId_122259,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcGloballyUniqueId_122259,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#IfcGloballyUniqueId,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#IfcGloballyUniqueId
,,,,
http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcGloballyUniqueId_122318,http://linkedbuildingdata.net/ifc/resources20200811_130356/IfcGloballyUniqueId_122318,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#IfcGloballyUniqueId,http://standards.buildingsmart.org/IFC/DEV/IFC2x3/TC1/OWL#IfcGloballyUniqueId
,,,,
